username,full_name,phone,role,password
fel01,Felix Doel,8012345678,voter,Vote@123
fatty,Fatima Abas,8012345679,voter,Vote@123
voter001,John Anderson,8012345680,voter,Vote@123
voter002,Sarah Johnson,8012345681,voter,Vote@123
voter003,Michael Brown,8012345682,voter,Vote@123
voter004,Emily Davis,8012345683,voter,Vote@123
voter005,David Wilson,8012345684,voter,Vote@123
voter006,Jessica Miller,8012345685,voter,Vote@123
voter007,Christopher Moore,8012345686,voter,Vote@123
voter008,Amanda Taylor,8012345687,voter,Vote@123
voter009,Matthew Jackson,8012345688,voter,Vote@123
voter010,Ashley White,8012345689,voter,Vote@123
voter011,Joshua Harris,8012345690,voter,Vote@123
voter012,Jennifer Martin,8012345691,voter,Vote@123
voter013,Andrew Thompson,8012345692,voter,Vote@123
voter014,Elizabeth Garcia,8012345693,voter,Vote@123
voter015,Daniel Martinez,8012345694,voter,Vote@123
voter016,Stephanie Robinson,8012345695,voter,Vote@123
voter017,Ryan Clark,8012345696,voter,Vote@123
voter018,Michelle Rodriguez,8012345697,voter,Vote@123
voter019,Brandon Lewis,8012345698,voter,Vote@123
voter020,Nicole Lee,8012345699,voter,Vote@123
voter021,Kevin Walker,8012345700,voter,Vote@123
voter022,Rachel Hall,8012345701,voter,Vote@123
voter023,Jason Allen,8012345702,voter,Vote@123
voter024,Laura Young,8012345703,voter,Vote@123
voter025,Robert King,8012345704,voter,Vote@123
voter026,Maria Wright,8012345705,voter,Vote@123
voter027,Justin Lopez,8012345706,voter,Vote@123
voter028,Crystal Hill,8012345707,voter,Vote@123
voter029,Steven Scott,8012345708,voter,Vote@123
voter030,Samantha Green,8012345709,voter,Vote@123
voter031,Tyler Adams,8012345710,voter,Vote@123
voter032,Catherine Baker,8012345711,voter,Vote@123
voter033,Patrick Gonzalez,8012345712,voter,Vote@123
voter034,Heather Nelson,8012345713,voter,Vote@123
voter035,Jonathan Carter,8012345714,voter,Vote@123
voter036,Angela Mitchell,8012345715,voter,Vote@123
voter037,Adam Perez,8012345716,voter,Vote@123
voter038,Rebecca Roberts,8012345717,voter,Vote@123
voter039,Benjamin Turner,8012345718,voter,Vote@123
voter040,Lisa Phillips,8012345719,voter,Vote@123
voter041,Nathan Campbell,8012345720,voter,Vote@123
voter042,Kimberly Parker,8012345721,voter,Vote@123
voter043,Jacob Evans,8012345722,voter,Vote@123
voter044,Melissa Edwards,8012345723,voter,Vote@123
voter045,William Collins,8012345724,voter,Vote@123
voter046,Karen Stewart,8012345725,voter,Vote@123
voter047,Alexander Sanchez,8012345726,voter,Vote@123
voter048,Dorothy Morris,8012345727,voter,Vote@123
voter049,Nicholas Rogers,8012345728,voter,Vote@123
voter050,Susan Reed,8012345729,voter,Vote@123
